State,Recharge_Rainfall_Monsoon,Recharge_Other_Monsoon,Recharge_Rainfall_NonMonsoon,Recharge_Other_NonMonsoon,Total_Recharge,Natural_Discharges,Extractable_Resource,Irrigation,Industrial,Domestic,Total_Extraction,Domestic_Allocation,Net_Availability,Stage_Extraction,Year,Industrial_was_missing,Population,CAGR_2011_2021_pct,Source_Note,Rainfall_mm,Rainfall_Mapping_Note
Delhi,0.1388,0.0895,0.0094,0.1728,0.4105,0.0411,0.3695,0.0904,0.0007,0.2716,0.3627,0.2878,0.0288,98.1612,2022,False,20927508,2.1009,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),500,direct
Goa,0.35,0.02,0.0,0.04,0.41,0.08,0.33,0.026,0.004,0.048,0.078,0.05,0.25,23.63,2022,False,1586097,0.6672,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),3100,direct
Gujarat,19.0,2.63,0.0,4.83,26.46,1.88,24.58,12.1,0.16,0.82,13.09,1.04,12.18,53.23,2022,False,70168703,1.3689,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),1080,direct
Haryana,3.15,2.79,0.7,2.83,9.48,0.87,8.61,10.3,0.6,0.65,11.54,0.66,1.04,134.14,2022,False,28554946,1.0722,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),490,direct
Himachal Pradesh,0.6,0.14,0.14,0.15,1.03,0.09,0.94,0.18,0.05,0.12,0.35,0.12,0.59,37.56,2022,False,7461539,0.8244,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),1425,direct
Jammu & Kashmir,1.16,1.94,1.15,0.64,4.9,0.46,4.44,0.31,0.05,0.71,1.07,0.73,3.35,24.18,2022,False,13684160,0.8184,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),680,shared_combined_subdivision_value_not_state_specific
Jharkhand,4.92,0.45,0.48,0.36,6.21,0.51,5.69,0.93,0.21,0.65,1.78,0.65,3.92,31.35,2022,False,38871148,1.5819,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),1340,direct
Karnataka,8.83,4.29,1.19,3.43,17.74,1.7,16.04,10.01,0.13,1.09,11.22,1.17,6.34,69.93,2022,False,68043263,1.0113,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),1350,direct
Kerala,4.25,0.15,0.47,0.87,5.74,0.54,5.19,1.17,0.01,1.55,2.73,2.2,2.18,52.56,2022,False,35298783,0.5032,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),3100,direct
Ladakh,0.01,0.05,0.02,0.0,0.08,0.01,0.07,0.00037,0.0002,0.03,0.03,0.03,0.04,41.36,2022,False,295097,0.6508,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),680,shared_combined_subdivision_value_not_state_specific
