State,Recharge_Rainfall_Monsoon,Recharge_Other_Monsoon,Recharge_Rainfall_NonMonsoon,Recharge_Other_NonMonsoon,Total_Recharge,Natural_Discharges,Extractable_Resource,Irrigation,Industrial,Domestic,Total_Extraction,Domestic_Allocation,Net_Availability,Stage_Extraction,Year,Industrial_was_missing
Telangana,6.88,6.63,0.94,5.96,20.4,1.96,18.44,7.59,0.37,0.51,8.47,0.74,9.95,45.91,2024,False
Tripura,1.03,0.16,0.2,0.07,1.45,0.27,1.18,0.03,0.0,0.08,0.11,0.09,1.07,9.48,2024,False
Uttar Pradesh,36.43,14.12,0.81,21.47,72.84,6.46,66.38,41.15,0.53,5.08,46.76,5.38,20.52,70.45,2024,False
Uttarakhand,1.53,0.21,0.14,0.26,2.14,0.17,1.96,0.74,0.13,0.18,1.05,0.26,0.83,53.54,2024,False
West Bengal,16.65,1.71,3.4,4.13,25.89,2.33,23.56,8.99,0.17,1.59,10.75,1.77,12.72,45.63,2024,False
Andaman & Nicobar,0.2,0.0,0.19,0.0,0.38,0.04,0.35,0.0,0.0,0.01,0.01,0.01,0.34,2.27,2025,False
Andhra Pradesh,8.83,9.4,0.97,7.15,26.34,1.32,25.02,6.76,0.14,0.99,7.88,1.29,17.37,31.51,2025,False
Arunachal Pradesh,2.12,0.26,0.98,0.33,3.69,0.4,3.29,0.01,0.0,0.01,0.01,0.01,3.27,0.41,2025,False
Assam,17.95,0.96,6.53,0.93,26.36,6.08,20.29,2.35,0.01,0.57,2.93,0.69,17.23,14.45,2025,False
Bihar,19.46,8.32,1.14,5.6,34.51,3.19,31.32,10.51,0.41,3.55,14.47,4.85,15.76,46.2,2025,False
Chandigarh,0.01,0.01,0.0,0.03,0.05,0.01,0.05,0.01,0.0,0.02,0.03,0.03,0.01,67.0,2025,False
Chhattisgarh,8.62,3.51,0.15,2.03,14.3,1.23,13.07,5.35,0.15,0.79,6.3,0.88,6.8,48.18,2025,False
